unique_number,id_no,rev_bis,name_en,name_fr,short_description_en,short_description_fr,justification_en,justification_fr,date_inscribed,secondary_dates,danger,date_end,danger_list,longitude,latitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en,states_name_fr,region_en,region_fr,iso_code,udnp_code,transboundary
667,565,,Kasbah of Algiers,Casbah d'Alger,"<p>The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.</p>","<p>Dans l’un des plus beaux sites maritimes de la Méditerranée, surplombant les îlots où un comptoir carthaginois fut installé dès le IVe siècle av. J.-C., la Casbah constitue un type unique de <em>médina</em> , ou ville islamique. Lieu de mémoire autant que d’histoire, elle comprend des vestiges de la citadelle, des mosquées anciennes, des palais ottomans, ainsi qu’une structure urbaine traditionnelle associée à un grand sens de la communauté.</p>",,,1992,,0,,,3.06028,36.78333,54.7,0,1,0,0,1,0,0,0,0,0,(ii)(v),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,0
1487,1160,Bis,Madriu-Perafita-Claror Valley,La Vallée du Madriu-Perafita-Claror,"<p>The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open pastures and steep wooded valleys, covers an area of 4,247 ha, 9% of the total area of the principality. It reflects past changes in climate, economic fortune and social systems, as well as the persistence of pastoralism and a strong mountain culture, notably the survival of a communal land-ownership system dating back to the 13th century. The site features houses, notably summer settlements, terraced fields, stone tracks and evidence of iron smelting.</p>","<p>Le paysage culturel de la vall&eacute;e du Madriu-Perafita-Claror est un microcosme qui t&eacute;moigne du g&eacute;nie d&eacute;ploy&eacute; par les populations des Pyr&eacute;n&eacute;es au cours du mill&eacute;naire pour exploiter les ressources locales. Ses paysages spectaculaires de montagnes d&eacute;chiquet&eacute;es et de glaciers, avec ses alpages et ses profondes vall&eacute;es bois&eacute;es, couvrent une zone de 4 247 ha, soit 9% de la superficie totale de l&rsquo;Andorre. La vall&eacute;e refl&egrave;te les mutations du climat, des conditions &eacute;conomiques et des syst&egrave;mes sociaux, ainsi que la permanence du pastoralisme et d&rsquo;une forte culture montagnarde, illustr&eacute;e notamment par la permanence d&rsquo;un syst&egrave;me de gestion communale des terrains datant du XIIIe si&egrave;cle. Le site, dernier endroit du pays &agrave; ne pas disposer de route, comprend des habitations notamment des cabanes d&rsquo;&eacute;t&eacute; pour les bergers, des champs en terrasse, des sentiers empierr&eacute;s et des vestiges de fonderie.</p>",<p><em>Criterion (v):</em> The Madriu-Perafita-Claror Valley is a microcosm of the way its inhabitants have harvested the scarce resources of the high Pyrenees over the past millennia to create a sustainable living environment in harmony with the mountain landscape. The Valley is a reflection of an ancient communal system of land management that has survived for over 700 years.</p>,"<p><em>Crit&egrave;re (v)&nbsp;:</em> La Vall&eacute;e du Madriu-Perafita-Claror est un microcosme de la mani&egrave;re dont ses habitants ont recueilli les rares ressources des hautes Pyr&eacute;n&eacute;es au cours des derniers mill&eacute;naires pour cr&eacute;er un environnement vivant durable, en harmonie avec le paysage de montagne. La Vall&eacute;e rappelle un ancien syst&egrave;me communal de gestion des terres qui subsiste depuis plus de 700 ans.</p>",2004,,0,,,1.595555556,42.49472222,4247,0,0,0,0,1,0,0,0,0,0,(v),Cultural,C,Andorra,Andorre,Europe and North America,Europe et Amérique du Nord,ad,and,0
2128,1511,,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo","Mbanza Kongo, vestiges de la capitale de l’ancien Royaume du Kongo","<p>The town of Mbanza Kongo, located on a plateau at an altitude of 570 m, was the political and spiritual capital of the Kingdom of Kongo, one of the largest constituted states in Southern Africa from the 14th to 19th centuries. The historical area grew around the royal residence, the customary court and the holy tree, as well as the royal funeral places. When the Portuguese arrived in the 15th century they added stone buildings constructed in accordance with European methods to the existing urban conurbation built in local materials. Mbanza Kongo illustrates, more than anywhere in sub-Saharan Africa, the profound changes caused by the introduction of Christianity and the arrival of the Portuguese into Central Africa.</p>","<p>La cité de Mbanza Kongo, située sur un plateau à 570 m d’altitude, était la capitale politique et spirituelle du Royaume du Kongo, l’un des plus grands États constitués d’Afrique australe du XIVe au XIXe siècle. La zone historique s’est développée autour de la résidence royale, du tribunal coutumier et de l’arbre sacré, ainsi que des lieux funéraires royaux. Arrivés au XVe siècle, les Portugais ont ajouté des bâtiments en pierre, érigés selon les normes européennes, à l’agglomération urbaine existante, construite en matériaux locaux. Mbanza Kongo illustre, comme nulle part ailleurs en Afrique subsaharienne, les profonds changements qui découlèrent de l’introduction du christianisme et de l’arrivée des Portugais en Afrique centrale.</p>",,,2017,,0,,,14.24972222,-6.268888889,89.29,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Angola,Angola,Africa,Afrique,ao,ang,0
2086,1499,,Antigua Naval Dockyard and Related Archaeological Sites,Chantier naval d’Antigua et sites archéologiques associés,"<p>The site consists of a group of Georgian-style naval buildings and structures, set within a walled enclosure. The natural environment of this side of the island of Antigua, with its deep, narrow bays surrounded by highlands, offered shelter from hurricanes and was ideal for repairing ships. The construction of the Dockyard by the British navy would not have been possible without the labour of generations of enslaved Africans since the end of the 18th century. Its aim was to protect the interests of sugar cane planters at a time when European powers were competing for control of the Eastern Caribbean.</p>","<p>Le site consiste en un ensemble de bâtiments et d’installations portuaires de l’époque géorgienne, bordé d'une enceinte fortifiée. L’environnement naturel de cette partie de l’île d’Antigua, avec ses baies profondes et étroites entourées de hautes terres, offrait un abri contre les ouragans et était propice à la réparation des navires. La construction de ce chantier naval par la Marine britannique, n’aurait pas été possible sans le travail de générations d’esclaves africains, depuis la fin du XVIIIe siècle. L'objectif était de protéger les intérêts des planteurs de canne à sucre, à une époque où les puissances européennes se disputaient le contrôle des Caraïbes orientales.</p>",,,2016,,0,,,-61.76166667,17.00694444,255,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Antigua and Barbuda,Antigua-et-Barbuda,Latin America and the Caribbean,Amérique latine et Caraïbes,ag,atg,0
160,145,,Los Glaciares National Park,Parc national de Los Glaciares,"<p>The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into the milky grey glacial water, launching massive igloo icebergs into the lake with thunderous splashes.</p>","<p>Le parc national de Los Glaciares est un domaine d’une beauté naturelle exceptionnelle avec ses imposants sommets découpés et ses nombreux lacs glaciaires, dont le lac Argentino, long de 160 km. À son extrémité, trois glaciers se rejoignent et déversent leurs effluents dans les eaux glaciales d’un gris laiteux, sous forme d’énormes icebergs qui tombent dans le lac avec un bruit de tonnerre.</p>",,,1981,,0,,,-73.24944,-50,726927,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
340,303,,Iguazu National Park,Parc national de l'Iguazu,"<p>The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans.</p>","<p>Haute de 80 m et longue de 2 700 m sur un front basaltique enjambant la frontière entre l’Argentine et le Brésil, la cataracte en semi-cercle au cœur de ce site est l’une des plus spectaculaires du monde. Divisée en cascades multiples produisant d’immenses embruns, elle est entourée d’une forêt subtropicale humide renfermant plus de 2 000 espèces de plantes vasculaires et abritant une faune typique de la région : tapirs, fourmiliers géants, singes hurleurs, ocelots, jaguars et caïmans.</p>",,,1984,,0,,,-54.286073,-25.577357,55000,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
1091,936,,"Cueva de las Manos, Río Pinturas","Cueva de las Manos, Río Pinturas","<p>The Cueva de las Manos, Río Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also many depictions of animals, such as guanacos (<em>Lama guanicoe</em> ), still commonly found in the region, as well as hunting scenes. The people responsible for the paintings may have been the ancestors of the historic hunter-gatherer communities of Patagonia found by European settlers in the 19th century.</p>","<p>La Cueva de las Manos, Río Pinturas, renferme un ensemble exceptionnel d’art rupestre exécuté il y a de cela 13 000 à 9 500 ans. Elle doit son nom (grotte aux mains) aux impressions de mains – comme au pochoir – réalisées sur ses parois, mais comprend aussi de nombreuses représentations d’animaux, notamment de guanacos (<em>Lama guanicœ</em> ) qui sont toujours présents dans cette région, ainsi que des scènes de chasse. Les auteurs de ces peintures pourraient avoir été les ancêtres des communautés historiques de chasseurs-cueilleurs de Patagonie rencontrées par les colons européens au XIXe siècle.</p>",<p><em>Criterion (iii):</em> The Cueva de las Manos contains an outstanding collection of prehistoric rock art which bears witness to the culture of the earliest human societies in South America.</p>,<p><em>Critère(iii):</em> La Cueva de las Manos renferme un ensemble exceptionnel d’art rupestre préhistorique qui témoigne de la culture des premières sociétés humaines en Amérique du Sud.</p>,1999,,0,,,-70.66666667,-47.15,600,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
1092,937,,Península Valdés,Presqu'île de Valdés,<p>Península Valdés in Patagonia is a site of global significance for the conservation of marine mammals. It is home to an important breeding population of the endangered southern right whale as well as important breeding populations of southern elephant seals and southern sea lions. The orcas in this area have developed a unique hunting strategy to adapt to local coastal conditions.</p>,"<p>Située en Patagonie, la presqu’île de Valdés est un site d’importance mondiale pour la préservation des mammifères marins. Elle héberge d’importantes populations reproductrices de baleines franches menacées, ainsi que d’éléphants et de lions de mer du Sud. Les orques de cette région ont développé une stratégie de chasse unique en son genre, afin de s’adapter aux conditions côtières locales.</p>","<p><em>Criterion (x):</em> Peninsula Valdés contains very important and significant natural habitats for the in-situ conservation of several threatened species of outstanding universal value, and specifically its globally important concentration of breeding southern right whales, which is an endangered species. It is also important because of the breeding populations of southern elephant seals and southern sea lions. The area exhibits an exceptional example of adaptation of hunting techniques by the orca to the local coastal conditions.</p>","<p><em>Critère (x) :</em> La presqu’île de Valdés contient des habitats naturels très importants et significatifs pour la conservation in situ de plusieurs espèces menacées d’importance universelle exceptionnelle et notamment pour sa concentration mondialement importante de baleines franches, une espèce menacée d’extinction qui se reproduit dans la région. Elle est également importante pour les populations reproductrices d’éléphants et de lions de mer. La région présente un exemple exceptionnel de techniques de chasse de l'orque adaptées aux conditions côtières locales.</p>",1999,,0,,,-64,-42.5,360000,0,0,0,0,0,0,0,0,0,1,(x),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
1130,966,,Ischigualasto / Talampaya Natural Parks,Parcs naturels d’Ischigualasto / Talampaya,"<p>These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ago). Six geological formations in the parks contain fossils of a wide range of ancestors of mammals, dinosaurs and plants revealing the evolution of vertebrates and the nature of palaeo-environments in the Triassic Period.</p>","<p>Ces deux parcs contigus s'étendent sur plus de 275 300 ha dans la région désertique jouxtant à l'ouest les Sierras Pampeanas du centre de l'Argentine. Ils renferment l'ensemble continental le plus complet au monde de fossiles de la période du Trias (de -245 à -208 millions d'années). On y trouve six formations géologiques contenant des fossiles d'un large spectre d'ancêtres de mammifères, de dinosaures et de plantes, qui témoignent de l'évolution des vertébrés et de la nature des paléo-environnements de la période du Trias.</p>",<p><em>Criterion (viii):</em> The site contains a complete sequence of fossiliferous continental sediments representing the entire Triassic Period (45 million years) of geological history. No other place in the world has a fossil record comparable to that of Ischigualasto-Talampaya which reveals the evolution of vertebrate life and the nature of palaeoenvironments in the Triassic Period.</p>,<p><em>Critère (viii):</em> Le site contient une séquence complète de sédiments continentaux fossilifères représentant l’histoire géologique de la période du Trias dans son entité (45 millions d’années). Aucun autre endroit sur Terre n’a de gisements fossilifères comparables à ceux d’Ischigualasto-Talampaya qui témoignent de l’évolution de la vie vertébrée et de la nature des paléo-environnements du Trias.</p>,2000,,0,,,-68,-30,275369,0,0,0,0,0,0,0,1,0,0,(viii),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
1159,995,,Jesuit Block and Estancias of Córdoba,Ensemble et les estancias jésuites de Córdoba,"<p>The Jesuit Block in Córdoba, heart of the former Jesuit Province of Paraguay, contains the core buildings of the Jesuit system: the university, the church and residence of the Society of Jesus, and the college. Along with the five estancias, or farming estates, they contain religious and secular buildings, which illustrate the unique religious, social, and economic experiment carried out in the world for a period of over 150 years in the 17th and 18th centuries.</p>","<p>L'ensemble de Córdoba, noyau de l'ancienne province jésuite du Paraguay, comprend les principaux bâtiments du système jésuite : l'université, l'église, la résidence de la Compagnie de Jésus et le collège. Avec les cinq « estancias », ils abritent des édifices religieux et séculiers illustrant l'expérience religieuse, sociale et économique sans précédent menée à travers le monde pendant plus de 150 ans, aux XVIIe et XVIIIe siècles.</p>","<p><em>Criterion (ii):</em> The Jesuit buildings and ensembles of Córdoba and the estancias are exceptional examples of the fusion of European and indigenous values and cultures during a seminal period in South America.</p>
<p><em>Criterion (iv):</em> The religious, social, and economic experiment carried out in South America for over 150 years by the Society of Jesus produced a unique form of material expression, which is illustrated by the Jesuit buildings and ensembles of Córdoba and the estancias.</p>","<p><em>Critère (ii):</em> Les édifices et les ensembles jésuites de Córdoba, et des estancias, sont des exemples exceptionnels de la fusion des valeurs et cultures européennes et indigènes en Amérique du sud à une époque déterminante.</p>
<p><em>Critère (iv): </em>L’expérience religieuse, sociale et économique menée en Amérique du sud pendant plus de 150 ans par la Compagnie de Jésus donna naissance à une forme unique d’expression matérielle qui se traduit dans les édifices et ensembles jésuites de Córdoba et dans les estancias.</p>",2000,,0,,,-64.19111,-31.42056,38.12,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
